"deimos"

modified from the shape model of P. Thomas and
colleagues at Cornell.

long, lat, radius (km)
35,75,5.9825
35,80,5.8647
35,85,5.7553
35,90,5.6326
40,-90,3.9545
40,-85,4.1547
40,-80,4.4135
40,-75,4.6739
40,-70,4.8907
40,-65,5.1212
40,-60,5.4163
40,-55,5.5578
40,-50,5.6994
40,-45,5.7046
40,-40,5.71
40,-35,5.8351
40,-30,5.9601
40,-25,6.1475
40,-20,6.3348
40,-15,6.54
40,-10,6.7451
40,-5,6.8603
40,0,6.9222
40,5,6.8414
40,10,6.7135
40,15,6.5532
40,20,6.3918
40,25,6.2758
40,30,6.1965
40,35,6.1549
40,40,6.1555
40,45,6.1774
40,50,6.1992
40,55,6.1967
40,60,6.1713
40,65,6.1186
40,70,6.0635
40,75,5.9869
40,80,5.8723
40,85,5.7539
40,90,5.6326
45,-90,3.9545
45,-85,4.1459
45,-80,4.3772
45,-75,4.623
45,-70,4.8222
45,-65,5.0658
45,-60,5.3534
45,-55,5.4982
45,-50,5.647
45,-45,5.6811
45,-40,5.7073
45,-35,5.8263
45,-30,5.9492
45,-25,6.1267
45,-20,6.3042
45,-15,6.4825
45,-10,6.6608
45,-5,6.7644
45,0,6.8141
45,5,6.6985
45,10,6.5408
45,15,6.3707
45,20,6.2162
45,25,6.1272
45,30,6.0665
45,35,6.0467
45,40,6.0553
45,45,6.0872
45,50,6.114
45,55,6.1202
45,60,6.1085
45,65,6.0723
45,70,6.0394
45,75,5.9771
45,80,5.8712
45,85,5.7523
45,90,5.6326
50,-90,3.9545
50,-85,4.1371
50,-80,4.3385
50,-75,4.5679
50,-70,4.7471
50,-65,5.0181
50,-60,5.2904
50,-55,5.4385
50,-50,5.5946
50,-45,5.6577
50,-40,5.7047
50,-35,5.8176
50,-30,5.9351
50,-25,6.0993
50,-20,6.2636
50,-15,6.4183
50,-10,6.5732
50,-5,6.6684
50,0,6.7144
50,5,6.575
50,10,6.4065
50,15,6.2348
50,20,6.0921
50,25,5.9898
50,30,5.9618
50,35,5.956
50,40,5.9813
50,45,6.0231
50,50,6.0557
50,55,6.0595
50,60,6.0481
50,65,6.0166
50,70,5.9976
50,75,5.9542
50,80,5.867
50,85,5.7449
50,90,5.6326
55,-90,3.9545
55,-85,4.1261
55,-80,4.296
55,-75,4.5056
55,-70,4.7118
55,-65,4.9804
55,-60,5.249
55,-55,5.3776
55,-50,5.5182
55,-45,5.6166
55,-40,5.691
55,-35,5.7902
55,-30,5.8947
55,-25,6.0741
55,-20,6.2535
55,-15,6.4035
55,-10,6.5535
55,-5,6.6243
55,0,6.6019
55,5,6.4758
55,10,6.3069
55,15,6.149
55,20,6.02
55,25,5.9288
55,30,5.9037
55,35,5.9099
55,40,5.9436
55,45,5.982
55,50,6.0036
55,55,6.0068
55,60,5.9836
55,65,5.9608
55,70,5.9512
55,75,5.917
55,80,5.8435
55,85,5.7366
55,90,5.6326
60,-90,3.9545
60,-85,4.1148
60,-80,4.283
60,-75,4.4779
60,-70,4.6955
60,-65,4.9428
60,-60,5.2076
60,-55,5.3167
60,-50,5.4418
60,-45,5.5754
60,-40,5.6771
60,-35,5.7628
60,-30,5.8544
60,-25,6.0387
60,-20,6.2434
60,-15,6.3886
60,-10,6.5339
60,-5,6.5803
60,0,6.5438
60,5,6.4101
60,10,6.2495
60,15,6.1
60,20,5.9816
60,25,5.8985
60,30,5.8597
60,35,5.869
60,40,5.9091
60,45,5.9468
60,50,5.9599
60,55,5.9493
60,60,5.9251
60,65,5.9118
60,70,5.9062
60,75,5.8831
60,80,5.8231
60,85,5.7276
60,90,5.6326
65,-90,3.9545
65,-85,4.1027
65,-80,4.2623
65,-75,4.4546
65,-70,4.673
65,-65,4.9238
65,-60,5.1875
65,-55,5.3166
65,-50,5.4657
65,-45,5.5791
65,-40,5.6526
65,-35,5.7584
65,-30,5.8157
65,-25,5.9729
65,-20,6.184
65,-15,6.3784
65,-10,6.5219
65,-5,6.5633
65,0,6.4996
65,5,6.3809
65,10,6.2335
65,15,6.0944
65,20,5.98
65,25,5.8973
65,30,5.8579
65,35,5.8531
65,40,5.8733
65,45,5.8961
65,50,5.9051
65,55,5.8992
65,60,5.8847
65,65,5.8782
65,70,5.8808
65,75,5.858
65,80,5.8051
65,85,5.7181
65,90,5.6326
70,-90,3.9545
70,-85,4.09
70,-80,4.2405
70,-75,4.4313
70,-70,4.6506
70,-65,4.9047
70,-60,5.1674
70,-55,5.3166
70,-50,5.4817
70,-45,5.5669
70,-40,5.62
70,-35,5.7541
70,-30,5.8195
70,-25,5.9804
70,-20,6.1733
70,-15,6.3815
70,-10,6.5164
70,-5,6.5553
70,0,6.4912
70,5,6.3762
70,10,6.2357
70,15,6.1019
70,20,5.9876
70,25,5.9031
70,30,5.8529
70,35,5.8388
70,40,5.8467
70,45,5.858
70,50,5.863
70,55,5.8586
70,60,5.8566
70,65,5.8547
70,70,5.8641
70,75,5.8458
70,80,5.7933
70,85,5.7058
70,90,5.6326
75,-90,3.9545
75,-85,4.0769
75,-80,4.2165
75,-75,4.4032
75,-70,4.6218
75,-65,4.8734
75,-60,5.1433
75,-55,5.3207
75,-50,5.4996
75,-45,5.576
75,-40,5.6336
75,-35,5.768
75,-30,5.8515
75,-25,5.9906
75,-20,6.1814
75,-15,6.3529
75,-10,6.4789
75,-5,6.5294
75,0,6.4922
75,5,6.3947
75,10,6.2612
75,15,6.1321
75,20,6.0168
75,25,5.9249
75,30,5.8666
75,35,5.8404
75,40,5.8387
75,45,5.8407
75,50,5.8384
75,55,5.8321
75,60,5.8331
75,65,5.8438
75,70,5.848
75,75,5.8289
75,80,5.7746
75,85,5.6963
75,90,5.6326
80,-90,3.9545
80,-85,4.0636
80,-80,4.192
80,-75,4.3713
80,-70,4.5872
80,-65,4.8472
80,-60,5.1297
80,-55,5.3183
80,-50,5.4785
80,-45,5.5579
80,-40,5.6393
80,-35,5.7819
80,-30,5.9213
80,-25,6.0605
80,-20,6.22
80,-15,6.3469
80,-10,6.4616
80,-5,6.5295
80,0,6.5208
80,5,6.4289
80,10,6.3043
80,15,6.1795
80,20,6.0657
80,25,5.9689
80,30,5.9021
80,35,5.8684
80,40,5.8556
80,45,5.8449
80,50,5.83
80,55,5.8167
80,60,5.8186
80,65,5.8298
80,70,5.837
80,75,5.8163
80,80,5.767
80,85,5.7003
80,90,5.6326
85,-90,3.9545
85,-85,4.0502
85,-80,4.1656
85,-75,4.3348
85,-70,4.5465
85,-65,4.8104
85,-60,5.1133
85,-55,5.3264
85,-50,5.4878
85,-45,5.5391
85,-40,5.6168
85,-35,5.7513
85,-30,5.8767
85,-25,6.0354
85,-20,6.1939
85,-15,6.3242
85,-10,6.4473
85,-5,6.5413
85,0,6.5617
85,5,6.4868
85,10,6.3651
85,15,6.2446
85,20,6.1356
85,25,6.0391
85,30,5.9666
85,35,5.9202
85,40,5.894
85,45,5.8652
85,50,5.8361
85,55,5.8152
85,60,5.811
85,65,5.8193
85,70,5.8223
85,75,5.8024
85,80,5.7565
85,85,5.6974
85,90,5.6326
